ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
1,,adnyamathanha,above,arra,arra,a r a,,Bowern2012,,
2,,alyawarr,above,err.rul,err.rul,e r ɹ u l,,Bowern2012,,
3,,alyawarr,above,err.ruleng,err.ruleng,e r ɹ u l e ŋ,,Bowern2012,,
4,,antekerrepenhe,above,arretyen,arretyen,a r e c e n,,Bowern2012,,
5,,arabana,above,arata,arata,a ɹ a t a,,Bowern2012,,
6,,awabakal,above,wågga,wågga,w ɔ gː a,,Bowern2012,,
7,,badimaya,above,garda,garda,g a ɖ a,,Bowern2012,,
8,,bandjalang,above,way,way,w a j,,Bowern2012,,
9,,batyala,above,mundun-ni,mundun-ni,m u n d u n n i,,Bowern2012,,
10,,bidyaragungabula,above,ngan-gany,ngan-gany,ŋ a n g a ɲ,,Bowern2012,,
11,,biri,above,ŋarra,ŋarra,ŋ a r a,,Bowern2012,,
12,,birrpayi,above,boo-row-a,boo-row-a,b oː ɹ o w a,,Bowern2012,,
13,,bunganditj,above,kan marna,kan marna,k a n _ m a ɳ a,,Bowern2012,,
14,,dhangu,above,garrwar,garrwar,g a r w a ɹ,,Bowern2012,,
15,,dharawal,above,mirir,mirir,m i ɹ i ɹ,,Bowern2012,,
16,,dharuk,above,burawa,burawa,b u ɹ a w a,,Bowern2012,,
17,,dhayyi,above,garrwar,garrwar,g a r w a ɹ,,Bowern2012,,
18,,dhuwal,above,garrwar,garrwar,g a r w a ɹ,,Bowern2012,,
19,,dhuwala,above,garrwar,garrwar,g a r w a ɹ,,Bowern2012,,
20,,diyari,above,miri,miri,m i ɹ i,,Bowern2012,,
21,,djabugay,above,wanggar,wanggar,w a ŋ g a ɹ,,Bowern2012,,
22,,djambarrpuyngu,above,garrwar,garrwar,g a r w a ɹ,,Bowern2012,,
23,,djapu,above,garrwar,garrwar,g a r w a ɹ,,Bowern2012,,
24,,djinang,above,gurrgi,gurrgi,g u r g i,,Bowern2012,,
25,,duungidjawu,above,gaŋa,gaŋa,g a ŋ a,,Bowern2012,,
26,,dyirbal,above,dalbi,dalbi,d a l b i,,Bowern2012,,
27,,gamilaraay,above,ŋurri-ba,ŋurri-ba,ŋ u r i b a,,Bowern2012,,
28,,gangulu,above,ŋarra,ŋarra,ŋ a r a,,Bowern2012,,
29,,goorenggooreng,above,buri,buri,b u ɹ i,,Bowern2012,,
30,,gumatj,above,garrwar,garrwar,g a r w a ɹ,,Bowern2012,,
31,,gumbaynggir,above,waru,waru,w a ɹ u,,Bowern2012,,
32,,gunditjmara,above,kunnæ puuræ,kunnæ puuræ,k u nː æ _ p uː ɹ æ,,Bowern2012,,
33,,gundungurra,above,yurung,yurung,j u ɹ u ŋ,,Bowern2012,,
34,,gunggari,above,mirramundu,mirramundu,m i r a m u n d u,,Bowern2012,,
35,,gupapuyngu,above,garrwar,garrwar,g a r w a ɹ,,Bowern2012,,
36,,gurindji,above,kankula,kankula,k a n k u l a,,Bowern2012,,
37,,guuguyimidhirr,above,wanggaar,wanggaar,w a ŋ g aː ɹ,,Bowern2012,,
38,,guyani,above,kara,kara,k a ɹ a,,Bowern2012,,
39,,iyora,above,burá-wå,burá-wå,b u ɹ a w ɔ,,Bowern2012,,
40,,jaru,above,gangani,gangani,g a ŋ a n i,,Bowern2012,,
41,,jaru,above,gangani-maraŋo,gangani-maraŋo,g a ŋ a n i m a ɹ a ŋ o,,Bowern2012,,
42,,jarumcc,above,gan.gula,gan.gula,g a n g u l a,,Bowern2012,,
43,,jiwarli,above,yirrara,yirrara,j i r a ɹ a,,Bowern2012,,
44,,kalkatungu,above,pirrinha,pirrinha,p i r i n̪ a,,Bowern2012,,
45,,kamilaroi,above,Ngurriba,Ngurriba,ŋ g u r i b a,,Bowern2012,,
46,,karajarri,above,kantingka,kantingka,k a n t i ŋ k a,,Bowern2012,,
47,,karajarrinw,above,gaini,gaini,g a i n i,,Bowern2012,,
48,,karree,above,U-rong,U-rong,u ɹ o ŋ,,Bowern2012,,
49,,kartujarra,above,katuwanajanu,katuwanajanu,k a t u w a n a c a n u,,Bowern2012,,
50,,katthang,above,Ky-in-goo,Ky-in-goo,k j i n g oː,,Bowern2012,,
51,,kaurna,above,karra,karra,k a r a,,Bowern2012,,
52,,kukatj,above,kirh,kirh,k i r,,Bowern2012,,
53,,kukatja,above,gangara,gangara,g a ŋ a ɹ a,,Bowern2012,,
54,,kukuyalanji,above,wangkar-wangkar,wangkar-wangkar,w a ŋ k a ɹ w a ŋ k a ɹ,,Bowern2012,,
55,,kurrama,above,kankarni,kankarni,k a n k a ɳ i,,Bowern2012,,
56,,kurtjar,above,ngkaard,ngkaard,ŋ k aː ɖ,,Bowern2012,,
57,,kurtjar,above,ngkardiyang,ngkardiyang,ŋ k a ɖ i j a ŋ,,Bowern2012,,
58,,linngithigh,above,mbir,mbir,m b i ɹ,,Bowern2012,,
59,,mabuiag,above,gimal,gimal,g i m a l,,Bowern2012,,
60,,malngin,above,kankula,kankula,k a n k u l a,,Bowern2012,,
61,,mangalamck,above,kankarni,kankarni,k a n k a ɳ i,,Bowern2012,,
62,,mangalanw,above,gangani,gangani,g a ŋ a n i,,Bowern2012,,
63,,mangalanw,above,gangani-maraŋo,gangani-maraŋo,g a ŋ a n i m a ɹ a ŋ o,,Bowern2012,,
64,,martuwangka,above,kanka,kanka,k a n k a,,Bowern2012,,
65,,maryriverandbunyabunyacountry,above,ba’ritha,ba’ritha,b a ʔ ɹ i t̪ a,,Bowern2012,,
66,,minjungbal,above,wayi-ma-ya,wayi-ma-ya,w a j i m a j a,,Bowern2012,,
67,,mountfreelingdiyari,above,mirrie,mirrie,m i r i e,,Bowern2012,,
68,,mudburra,above,dimbu,dimbu,d i m b u,,Bowern2012,,
69,,mudburramcc,above,kankulu,kankulu,k a n k u l u,,Bowern2012,,
70,,muruwari,above,karranta,karranta,k a r a n t a,,Bowern2012,,
71,,nggoimwoi,above,nurring,nurring,n u r i ŋ,,Bowern2012,,
72,,ngaanyatjarra,above,kankararra,kankararra,k a n k a ɹ a r a,,Bowern2012,,
73,,ngadjumaya,above,maadu,maadu,m aː d u,,Bowern2012,,
74,,ngadjuri,above,aru'watung,aru'watung,a ɹ u ˀw a t u ŋ,,Bowern2012,,
75,,ngamini,above,kurumu,kurumu,k u ɹ u m u,,Bowern2012,,
76,,ngarigu,above,nyalang,nyalang,ɲ a l a ŋ,,Bowern2012,,
77,,ngarinyman,above,dalwirr,dalwirr,d a l w i r,,Bowern2012,,
78,,ngarla,above,kankara,kankara,k a n k a ɹ a,,Bowern2012,,
79,,ngarluma,above,gankanmani,gankanmani,g a n k a n m a n i,,Bowern2012,,
80,,ngarrindjeri,above,thalwulda,thalwulda,t̪ a l w u l d a,,Bowern2012,,
81,,ngiyambaa,above,Nunaowa,Nunaowa,ŋ u n a o w a,,Bowern2012,,
82,,ngunawal,above,yurung,yurung,j u ɹ u ŋ,,Bowern2012,,
83,,nhanta,above,irrangkaq,irrangkaq,i r a ŋ k a q,,Bowern2012,,
84,,northernmangarla,above,kankarningu,kankarningu,k a n k a ɳ i ŋ u,,Bowern2012,,
85,,northernnyangumarta,above,kanka,kanka,k a n k a,,Bowern2012,,
86,,nyamal,above,kankarla,kankarla,k a n k a ɭ a,,Bowern2012,,
87,,nyangumarta,above,kanka,kanka,k a n k a,,Bowern2012,,
88,,nyungar,above,yearer,yearer,j e a ɹ e ɹ,,Bowern2012,,
89,,pakanh,above,katningka,katningka,k a t n i ŋ k a,,Bowern2012,,
90,,pakanh,above,kaningka above,kaningka above,k a n i ŋ k a _ a b o v e,,Bowern2012,,
91,,panyjima,above,kankala,kankala,k a n k a l a,,Bowern2012,,
92,,parnkala,above,kakkannara,kakkannara,k a kː a nː a ɹ a,,Bowern2012,,
93,,payungu,above,kankara,kankara,k a n k a ɹ a,,Bowern2012,,
94,,pintupiluritja,above,katu,katu,k a t u,,Bowern2012,,
95,,pintupiluritja,above,kankarra,kankarra,k a n k a r a,,Bowern2012,,
96,,pitjantjatjara,above,katu,katu,k a t u,,Bowern2012,,
97,,pittapitta,above,yakirli ngalpa,yakirli ngalpa,j a k i ɭ i _ ŋ a l p a,,Bowern2012,,
98,,rirratjingu,above,garramat,garramat,g a r a m a t,,Bowern2012,,
99,,ritharrngu,above,garrwar,garrwar,g a r w a ɹ,,Bowern2012,,
100,,thalanyji,above,kankara,kankara,k a n k a ɹ a,,Bowern2012,,
101,,tharrgari,above,yirrara,yirrara,j i r a ɹ a,,Bowern2012,,
102,,umpila,above,kani-munu,kani-munu,k a n i m u n u,,Bowern2012,,
103,,wajarri,above,marlba,marlba,m a ɭ b a,,Bowern2012,,
104,,wakaya,above,yupantu,yupantu,j u p a n t u,,Bowern2012,,
105,,wakaya,above,kinkarl,kinkarl,k i n k a ɭ,,Bowern2012,,
106,,wakaya,above,jemanturu,jemanturu,c e m a n t u ɹ u,,Bowern2012,,
107,,walmajarribilliluna,above,kankarra,kankarra,k a n k a r a,,Bowern2012,,
108,,walmajarrihr,above,kankarra,kankarra,k a n k a r a,,Bowern2012,,
109,,walmajarrinw,above,galano,galano,g a l a n o,,Bowern2012,,
110,,wangkangurru,above,jeraba,jeraba,c e ɹ a b a,,Bowern2012,,
111,,wangkatja,above,katu,katu,k a t u,,Bowern2012,,
112,,wangkumara,above,pirtabada,pirtabada,p i ʈ a b a d a,,Bowern2012,,
113,,wardandi,above,jira,jira,c i ɹ a,,Bowern2012,,
114,,warlmanpa,above,kankarlarra,kankarlarra,k a n k a ɭ a r a,,Bowern2012,,
115,,warlpiri,above,kankarla-rni,kankarla-rni,k a n k a ɭ a ɳ i,,Bowern2012,,
116,,warluwarra,above,karnkarliyarri-,karnkarliyarri-,k a ɳ k a ɭ i j a r i,,Bowern2012,,
117,,warnman,above,kankarni,kankarni,k a n k a ɳ i,,Bowern2012,,
118,,warriyangga,above,yirrara,yirrara,j i r a ɹ a,,Bowern2012,,
119,,warumungu,above,arttinji,arttinji,a ʈ t i n c i,,Bowern2012,,
120,,warungu,above,gija,gija,g i c a,,Bowern2012,,
121,,wathawurrung,above,kobangi,kobangi,k o b a ŋ i,,Bowern2012,,
122,,wathawurrung,above,kombaba,kombaba,k o m b a b a,,Bowern2012,,
123,,watjuk,above,yiragan,yiragan,j i ɹ a g a n,,Bowern2012,,
124,,wikmungkan,above,wonyam,wonyam,w o ɲ a m,,Bowern2012,,
125,,wiradjuri,above,Birrabang,Birrabang,b i r a b a ŋ,,Bowern2012,,
126,,wirangu,above,gardidya,gardidya,g a ɖ i d j a,,Bowern2012,,
127,,woiwurrung,above,gabarreng,gabarreng,g a b a r e ŋ,,Bowern2012,,
128,,wulguru,above,bindal,bindal,b i n d a l,,Bowern2012,,
129,,yagara,above,wangan,wangan,w a ŋ a n,,Bowern2012,,
130,,yalarnnga,above,kankadhi,kankadhi,k a n k a d̪ i,,Bowern2012,,
131,,yannhangu,above,gaṉgiya,gaṉgiya,g a ɳ g i j a,,Bowern2012,,
132,,yandruwandha,above,thalka,thalka,t̪ a l k a,,Bowern2012,,
133,,yandruwandha,above,kanrra,kanrra,k a n r a,,Bowern2012,,
134,,yanyuwa,above,ankangu,ankangu,a n k a ŋ u,,Bowern2012,,
135,,yarluyandi,above,kuru-mu,kuru-mu,k u ɹ u m u,,Bowern2012,,
136,,yawarrawarrka,above,datja,datja,d a t c a,,Bowern2012,,
137,,yidiny,above,diban,diban,d i b a n,,Bowern2012,,
138,,yindjibarndi,above,kankarla,kankarla,k a n k a ɭ a,,Bowern2012,,
139,,yortayorta,above,pukut,pukut,p u k u t,,Bowern2012,,
140,,yugambeh,above,barai,barai,b a ɹ a i,,Bowern2012,,
141,,yulparija,above,kankarninguru,kankarninguru,k a n k a ɳ i ŋ u ɹ u,,Bowern2012,,
142,,yuwaalaraay,above,ngarribaagili,ngarribaagili,ŋ a r i b aː g i l i,,Bowern2012,,
143,,adnyamathanha,again,yayidla,yayidla,j a j i d l a,,Bowern2012,,
144,,alyawarr,again,aweth,aweth,a w e t̪,,Bowern2012,,
145,,arabana,again,yata,yata,j a t a,,Bowern2012,,
146,,awabakal,again,ga-di-ya,ga-di-ya,g a d i j a,,Bowern2012,,
147,,badimaya,again,bindhi,bindhi,b i n d̪ i,,Bowern2012,,
148,,bandjalang,again,bu,bu,b u,,Bowern2012,,
149,,bilinarra,again,=rningan,=rningan,ɳ i ŋ a n,,Bowern2012,,
150,,biri,again,dagu,dagu,d a g u,,Bowern2012,,
151,,birrpayi,again,Gore Gore,Gore Gore,g o ɹ e _ g o ɹ e,,Bowern2012,,
152,,bunganditj,again,wanung,wanung,w a n u ŋ,,Bowern2012,,
153,,bunganditj,again,wanilang,wanilang,w a n i l a ŋ,,Bowern2012,,
154,,dhangu,again,biyapul,biyapul,b i j a p u l,,Bowern2012,,
155,,dhayyi,again,mukayi,mukayi,m u k a j i,,Bowern2012,,
156,,dhuwal,again,bulu,bulu,b u l u,,Bowern2012,,
157,,dhuwala,again,bulu,bulu,b u l u,,Bowern2012,,
158,,diyari,again,pota,pota,p o t a,,Bowern2012,,
159,,djabugay,again,biri,biri,b i ɹ i,,Bowern2012,,
160,,djambarrpuyngu,again,bulu,bulu,b u l u,,Bowern2012,,
161,,djapu,again,bulu,bulu,b u l u,,Bowern2012,,
162,,djinang,again,madjirri,madjirri,m a d c i r i,,Bowern2012,,
163,,gamilaraay,again,yaluu,yaluu,j a l uː,,Bowern2012,,
164,,gangulu,again,muli,muli,m u l i,,Bowern2012,,
165,,goorenggooreng,again,yamar,yamar,j a m a ɹ,,Bowern2012,,
166,,gumatj,again,bulu,bulu,b u l u,,Bowern2012,,
167,,gumbaynggir,again,garraa,garraa,g a r aː,,Bowern2012,,
168,,gunya,again,gala,gala,g a l a,,Bowern2012,,
169,,gupapuyngu,again,bulu,bulu,b u l u,,Bowern2012,,
170,,gurindji,again,maya,maya,m a j a,,Bowern2012,,
171,,guyani,again,puntu,puntu,p u n t u,,Bowern2012,,
172,,jaru,again,mayarra,mayarra,m a j a r a,,Bowern2012,,
173,,jarumcc,again,mayarra,mayarra,m a j a r a,,Bowern2012,,
174,,jiwarli,again,-nthu,-nthu,n t̪ u,,Bowern2012,,
175,,kalkatungu,again,kurlukurlu,kurlukurlu,k u ɭ u k u ɭ u,,Bowern2012,,
176,,kamilaroi,again,yalu,yalu,j a l u,,Bowern2012,,
177,,karajarri,again,yalinj,yalinj,j a l i n c,,Bowern2012,,
178,,karajarrinw,again,yalinj,yalinj,j a l i n c,,Bowern2012,,
179,,kariyarra,again,ngardilyi,ngardilyi,ŋ a ɖ i l j i,,Bowern2012,,
180,,kartujarra,again,yarrala,yarrala,j a r a l a,,Bowern2012,,
181,,katthang,again,yúbibbu,yúbibbu,j u b i bː u,,Bowern2012,,
182,,kaurna,again,kuttendi,kuttendi,k u tː e n d i,,Bowern2012,,
183,,kaurna,again,kuttekuttendi,kuttekuttendi,k u tː e k u tː e n d i,,Bowern2012,,
