ID,Name,Glottocode
,Adnyamathanha,adny1235
,Aghu-Tharrnggala,aghu1254
,Alyawarr,alya1239
,Antekerrepenhe,ande1247
,Arabana,arab1267
,Awabakal,awab1243
,Badimaya,badi1246
,Badjiri,badj1244
,Bandjalang,band1339
,Batyala,kabi1260
,Bidyara-Gungabula,sout2765
,Bilinarra,bili1250
,Biri,biri1256
,Birrpayi,birr1241
,Bularnu,bula1255
,Bunganditj,bung1264
,Colac,cola1237
,Darkinyung,hawk1239
,Dhangu,dhan1270
,Dharawal,thur1254
,Dharuk,sydn1236
,Dharumbal,dhar1248
,Dhayyi,dayi1244
,Dhudhuroa,dhud1236
,Dhurga,dhur1239
,Dhuwal,dhuw1249
,Dhuwala,
,Diyari,dier1241
,Djabugay,dyaa1242
,Djambarrpuyngu,djam1256
,Djapu,djap1238
,Djinang,djin1253
,Durubul,
,Duungidjawu,duun1241
,Dyirbal,dyir1250
,Flinders Island,flin1247
,Gairi,wadj1255
,Gamilaraay,gami1243
,Gangulu,gang1268
,Garlali,kala1380
,Gooreng Gooreng,gure1255
,Gudjal,gudj1237
,Gumatj,guma1253
,Gumbaynggir,kumb1268
,Gunditjmara,gund1249
,Gundungurra,nort2760
,Gunggari,kung1258
,Gunya,guny1241
,Gupapuyngu,gupa1247
,Gurindji,guri1247
,Guugu-Yimidhirr,gugu1255
,Guwa,guwa1242
,Guyani,guya1249
,Iyora,sydn1236
,Jaru,jaru1254
,Jaru-McC,
,Jiwarli,djiw1241
,Jiwarliny,walm1241
,Kaanju,kanj1260
,Kalkatungu,kalk1246
,Kamilaroi,gami1243
,Karajarri,kara1476
,KarajarriNW,
,Kariyarra,kari1304
,Karree,
,Kartujarra,kart1247
,Karuwali,karr1236
,Katthang,gath1234
,Kaurna,kaur1267
,Keramin,nort2756
,Kugu Nganhcara,kuku1280
,Kukatj,guga1239
,Kukatja,kuka1246
,Kuku Yalanji,kuku1273
,KukuYalanjiCurr,
,Kungadutyi,
,Kungkari,kuun1236
,Kurnu,kula1275
,Kurrama,kurr1243
,Kurtjar,gurd1238
,Kuuku-Ya’u,kuuk1238
,Linngithigh,leni1238
,Mabuiag,kala1377
,Malgana,malg1242
,Malngin,maln1239
,Malyangapa,maly1234
,MangalaMcK,
,MangalaNW,
,Margany,marg1253
,Martu Wangka,mart1256
,Mary River and Bunya Bunya Country,
,Mathi-Mathi,madh1244
,Mayi-Kulan,mayi1236
,Mayi-Kutuna,maya1280
,Mayi-Thakurti,mayi1234
,Mayi-Yapi,mayi1235
,Mbabaram,mbab1239
,Mbakwithi,angu1242
,Minjungbal,minj1242
,Mirniny,kala1379
,Mithaka,mith1236
,Mount Freeling Diyari,
,Mudburra,mudb1240
,Mudburra-McC,
,Muruwari,muru1266
,Narrungga,naru1238
,Ng'goi Mwoi,
,Ngaanyatjarra,ngaa1240
,Ngadjumaya,ngad1258
,Ngadjuri,ngad1257
,Ngaiawang,lowe1402
,Ngamini,ngam1284
,Ngardily,nort2753
,Ngarigu,ngar1297
,Ngarinyman,ngar1235
,Ngarla,ngar1296
,Ngarluma,ngar1287
,Ngarrindjeri,narr1259
,Ngawun,ngaw1240
,Ngiyambaa,ngiy1239
,Ngunawal,ngun1277
,Nhanta,nhan1238
,Nhirrpi,nhir1234
,Northern Mangarla,mang1383
,Northern Nyangumarta,nort2754
,Nyamal,nyam1271
,Nyangumarta,nyan1301
,Nyungar,nyun1247
,Paakantyi,darl1243
,Pakanh,paka1251
,Pallanganmiddang,pall1243
,Panyjima,pany1241
,Parnkala,bang1339
,Payungu,bayu1240
,Piangil,west2443
,Pintupi-Luritja,pint1250
,Pirriya,pirr1240
,Pitjantjatjara,pitj1243
,Pitta-Pitta,pitt1247
,Rirratjingu,rirr1238
,Ritharrngu,rita1239
,Southern Walmajarri,
,Thalanyji,dhal1245
,Tharrgari,dhar1247
,Umpila,umpi1239
,Wajarri,waja1257
,Wakaya,waga1260
,WalmajarriBilliluna,
,WalmajarriHR,
,WalmajarriNW,
,Wangkangurru,wang1290
,Wangkatja,pint1251
,Wangkayutyuru,wang1289
,Wangkumara,ngur1261
,WangkumaraMcDWur,
,Wardandi,ward1248
,Wargamay,warr1255
,Warlmanpa,warl1255
,Warlpiri,warl1254
,Warluwarra,warl1256
,Warnman,wanm1242
,Warriyangga,wari1262
,Warumungu,waru1265
,Warungu,waru1264
,Wathawurrung,wath1238
,Wathiwathi,wadi1249
,Watjuk,waju1234
,Western Arrarnta,west2441
,Wik Mungkan,wikm1247
,Wiradjuri,wira1262
,Wirangu,wira1265
,Woiwurrung,woiw1237
,Wulguru,wulg1239
,Yabula Yabula,yabu1234
,Yagara,yaga1262
,Yalarnnga,yala1262
,Yan-nhangu,yann1237
,Yandruwandha,yand1253
,Yanyuwa,yany1243
,Yarluyandi,yarl1238
,Yawarrawarrka,yawa1258
,Yidiny,yidi1250
,Yindjibarndi,yind1247
,Yindjilandji,yind1248
,Yiningay,bidy1243
,Yirandali,yira1239
,Yorta Yorta,yort1237
,Yugambeh,
,Yulparija,yulp1238
,Yuwaalaraay,yuwa1242
